feature,importance
placement,0.22541172092822212
overall_avg,0.10930175924789375
week7_avg,0.0768779337222672
cumulative_score,0.06595067240165406
season,0.05197942975951619
week7_total,0.051165396237193975
week8_total,0.04749848945690289
week3_avg,0.04454489664854691
week2_total,0.04433970677527796
week8_avg,0.04231197658164322
week4_avg,0.04033515362504993
week3_total,0.03295579629856309
week6_avg,0.028211557856955297
week9_total,0.02490080069636479
week4_total,0.02299312826680006
week1_avg,0.021513873598690888
week5_avg,0.02127785235761119
week6_total,0.013147143427660362
week5_total,0.011930349086582978
week9_avg,0.007885624389247914
week10_avg,0.005672988093702727
week1_total,0.004978362544264251
week2_avg,0.004815387999388191
week10_total,1.5228378885335475e-17
week11_avg,9.876869171157876e-18
week11_total,0.0
